"","nuts2","geo_code","X2014","nuts3","covidinnos","cleaninnos","covidinnos_shares","cleaninnos_shares","innos","covidOinnos","innos_shares","cleanOinnos"
"40","UKF1","UKF16",96.5,"UKF16",67,606,1.42705005324814,4.56497175141243,6464,1.0365099009901,2.41842854523891,9.375
"41","UKF1","UKF12",90.4,"UKF12",67,606,1.42705005324814,4.56497175141243,6464,1.0365099009901,2.41842854523891,9.375
"42","UKF1","UKF13",92.6,"UKF13",67,606,1.42705005324814,4.56497175141243,6464,1.0365099009901,2.41842854523891,9.375
"43","UKF1","UKF14",81.8,"UKF14",67,606,1.42705005324814,4.56497175141243,6464,1.0365099009901,2.41842854523891,9.375
"44","UKF1","UKF11",110.3,"UKF11",67,606,1.42705005324814,4.56497175141243,6464,1.0365099009901,2.41842854523891,9.375
"45","UKF2","UKF22",96.1,"UKF22",42,344,0.894568690095847,2.59133709981168,5929,0.708382526564345,2.21826467276013,5.80199021757463
"46","UKF2","UKF24",87.5,"UKF24",42,344,0.894568690095847,2.59133709981168,5929,0.708382526564345,2.21826467276013,5.80199021757463
"47","UKF2","UKF25",86.9,"UKF25",42,344,0.894568690095847,2.59133709981168,5929,0.708382526564345,2.21826467276013,5.80199021757463
"48","UKF2","UKF21",86.1,"UKF21",42,344,0.894568690095847,2.59133709981168,5929,0.708382526564345,2.21826467276013,5.80199021757463
"49","UKF3","UKF30",86.1,"UKF30",10,72,0.212992545260916,0.542372881355932,1089,0.918273645546373,0.407436368466146,6.61157024793388
"50","UKG1","UKG13",97.5,"UKG13",28,350,0.596379126730564,2.63653483992467,7156,0.391280044717719,2.67733209618342,4.89100055897149
"51","UKG1","UKG11",79.6,"UKG11",28,350,0.596379126730564,2.63653483992467,7156,0.391280044717719,2.67733209618342,4.89100055897149
"52","UKG1","UKG12",85.2,"UKG12",28,350,0.596379126730564,2.63653483992467,7156,0.391280044717719,2.67733209618342,4.89100055897149
"53","UKG2","UKG21",87.5,"UKG21",17,234,0.362087326943557,1.76271186440678,3091,0.549983824005176,1.15646080342411,7.57036557748301
"54","UKG2","UKG23",82.1,"UKG23",17,234,0.362087326943557,1.76271186440678,3091,0.549983824005176,1.15646080342411,7.57036557748301
"55","UKG2","UKG22",85.5,"UKG22",17,234,0.362087326943557,1.76271186440678,3091,0.549983824005176,1.15646080342411,7.57036557748301
"56","UKG2","UKG24",79.6,"UKG24",17,234,0.362087326943557,1.76271186440678,3091,0.549983824005176,1.15646080342411,7.57036557748301
"57","UKG3","UKG31",88.1,"UKG31",62,479,1.32055378061768,3.60828625235405,8718,0.71117228722184,3.26173577620557,5.4943794448268
"58","UKG3","UKG36",85.5,"UKG36",62,479,1.32055378061768,3.60828625235405,8718,0.71117228722184,3.26173577620557,5.4943794448268
"59","UKG3","UKG32",111.9,"UKG32",62,479,1.32055378061768,3.60828625235405,8718,0.71117228722184,3.26173577620557,5.4943794448268
"60","UKG3","UKG39",83.6,"UKG39",62,479,1.32055378061768,3.60828625235405,8718,0.71117228722184,3.26173577620557,5.4943794448268
